"Common Name","Scientific Name","Scientific Name_url","Species Group","ESA Listing Status","Entity Description","ESA Listing Date","Foreign or Domestic","Range Envelope","Image URL","Image URL_url","Conservation Plan Type","Country Name"
"Abbott's booby","Papasula (=Sula) abbotti","https://ecos.fws.gov/ecp/species/1470","Birds","Endangered","Wherever found","06-14-1976","Foreign",,"/docs/species_images/doc1650.jpg","https://ecos.fws.gov/docs/species_images/doc1650.jpg",,"Christmas Island"
"Acklins ground iguana","Cyclura rileyi nuchalis","https://ecos.fws.gov/ecp/species/27","Reptiles","Threatened","Wherever found","06-22-1983","Foreign",,"/docs/species_images/doc1803.jpg","https://ecos.fws.gov/docs/species_images/doc1803.jpg",,"Bahamas"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Burkina Faso"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Togo"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Burundi"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Tanzania"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Uganda"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Ivory Coast"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Cameroon"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Benin"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Guinea"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Niger"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Senegal"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Mali"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Sudan"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Mammals","Threatened","Wherever found","06-11-1978","Foreign",,"/docs/species_images/doc1458.jpg","https://ecos.fws.gov/docs/species_images/doc1458.jpg",,"Congo (Zaire)"
