common_name,scientific_name,species_group,esa_status,foreign_or_domestic,image_url,image_url_full,location,country,food,habitat_requirements,home_range,cause,reproduction,description,status_code
Akekee,Loxops caeruleirostris,Birds,Endangered,Domestic,/docs/species_images/doc4660.png,https://ecos.fws.gov/docs/species_images/doc4660.png,"POLYGON((-160.30501096653 21.7282346819371,-160.30501096653 22.2904866633662,-159.241811668235 22.2904866633662,-159.241811668235 21.7282346819371,-160.30501096653 21.7282346819371))",United States,"The 'Akeke'e  feeds mostly on spiders, psyllids, and caterpillars. Their tongue is similar to their nectarivorous relatives, taking nectar on rare occasions. Sifts through 'o hi'a leaf clusters with quick, deliberate movements, and appears to insert bill-tips between leaf scales and then gape while laterally abducting lower mandible.","The 'Akeke'e inhabits Lowland Mesic and Wet Forests. The highest densities of these species are found in 'o hi'a forest in Alaka'i ""Swamp."" This is the wettest location in U.S., where average annual rainfall approaches 1,500 cm.  The most common trees in these forests are 'o hi'a (Metrosideros polymorpha), koa (Acacia koa), 'o lapa (Cheirodendron trigynum), and lapalapa (C. platyphyllum). ",The 'Akeke'e is endemic to Kaua'i Island of the Hawaiian archipelago. The 'Akeke'e population is generally restricted to high-elevation forests that are in nearly pristine condition on the eastern edge of Koke'e State Park and the Alaka'i Wilderness Preserve.,"The 'Akeke'e population appears to have remained relatively stable for the past 35 years, unlike many other Kaua'i endemics, which have seriously declined. Despite destructive effects of two powerful hurricanes in the past 15 years, the 'Akeke'e remains relatively common in native forests above 1,100 m elevation. Estimation of trends is complicated by the difficulty of field identification of Kaua'i forest birds, particularly when relying on vocalizations alone. Development in the Ko ke'e region, as well as continued introduction of alien plants and animals, reduces the amount of suitable habitat available. Past human activity has and continues to adversely affect the 'Akeke'e through habitat destruction, both directly through forest-clearing and logging, and indirectly through introduced pigs, goats (Capra hircus), and deer (Odocoileus hemionus); introduced mosquitoes, particularly Culex quinquefasciatus and Aedes albopictus, as disease vectors, introduced birds as potential competitors and reservoirs of disease; introduced rats as nest predators; and introduced cats (Felis catus) and Barn Owls as predators on adults. For more information about this species, including occurrence, conservation strategies and recovery actions in specific states or regions, refer to the following resources:

Hawaii Department of Land and Natural Resources. 2015. 'Akeke'e Fact Sheet:  http://dlnr.hawaii.gov/wildlife/files/2013/09/Fact-sheet-akekee.pdf

Kauai Forest Bird Recovery Project website. 2015.:  http://kauaiforestbirds.org/birds/akekee/ (includes Akekee Recovery Plan Information)
","The 'Akeke'e  nests in open-cup nests located in terminal crowns of 'o hi'a trees. Composition is poorly known, but may consist of mostly mosses and some lichen. 
","The 'Akeke'e is a small Hawaiian honeycreeper. Both sexes are greenish above and have a yellow underside, triangular black face mask, as well as yellow cap and rump. The tail is long and notched, and the bill is conical with a light bluish gray color. Their legs and eyes appear black in the field, and the tip of the lower mandible is curved to one side.",200
Polar bear,Ursus maritimus,Mammals,Threatened,Both Domestic and Foreign,/docs/species_images/doc5025.jpg,https://ecos.fws.gov/docs/species_images/doc5025.jpg,"POLYGON((-174.837571354155 59.7457496094217,-174.837571354155 74.7067265238401,-137.60224093065 74.7067265238401,-137.60224093065 59.7457496094217,-174.837571354155 59.7457496094217))",Canada,No information available,No information available,No information available,No information available,No information available,"Polar bears are protected under the Marine Mammal Protection Act, which prohibits the take (i.e., harass, hunt, capture, or kill) of all marine mammals.  Please click the link provided after ""For more information"" to access the Services Marine Mammals Management Polar Bear website.  
Throughout the Arctic, polar bears are known by a variety of common names,
including nanook, nanuq, ice bear, sea bear, isbjorn, white bears, and beliy medved.
Genetic research has confirmed that polar bears evolved from grizzly (brown)
bears (Ursus arctos) 250 to 300 thousand years ago (Cronin et al. 1991, p. 2990;
Talbot and Shields 1996a, p. 574). Only in portions of northern Canada and
northern Alaska do the ranges of polar bears and grizzly bears overlap.  Polar bears are the largest of the living bear species.  Polar bears are carnivorous and an upper level predator of the Arctic marine ecosystem. Polar bears prey heavily throughout their range on ringed seals (Phoca hispida) and, to a lesser extent, bearded seals (Erignathus barbatus) and in some locales, other seal species.
Polar bears are characterized by a late age at sexual maturity, small litter sizes, and extended parental investment in raising young, factors that combine to contribute to a very low reproductive rate. Reproduction in the female polar
bear is similar to that in other ursids (bears). Females generally mature and breed for the first time at 4 or 5 years and give birth at 5 or 6 years of age. Litters of two cubs are most common, but litters of three cubs are seen sporadically across the Arctic.",200
Pitcher's thistle,Cirsium pitcheri,Flowering Plants,Threatened,Both Domestic and Foreign,/docs/species_images/doc5051.jpg,https://ecos.fws.gov/docs/species_images/doc5051.jpg,"POLYGON((-88.2001819788612 41.1621947025267,-88.2001819788612 47.8207069935056,-82.1454910033833 47.8207069935056,-82.1454910033833 41.1621947025267,-88.2001819788612 41.1621947025267))",Canada,No information available,No information available,No information available,No information available,No information available,No information available,200
Piping Plover,Charadrius melodus,Birds,Endangered,Both Domestic and Foreign,/docs/species_images/doc3770.jpg,https://ecos.fws.gov/docs/species_images/doc3770.jpg,"POLYGON((-93.0885545621889 37.8619826666356,-93.0885545621889 48.631503026846,-75.8547805305075 48.631503026846,-75.8547805305075 37.8619826666356,-93.0885545621889 37.8619826666356))",Canada,No information available,No information available,No information available,No information available,No information available,"Size: 18 cm (7.25 in) in length. Color: Breeding season: Pale brown above, lighter below; black band across forehead; bill orange with black tip; legs orange; white rump. Male: Complete or incomplete black band encircles the body at the breast. Female: Paler head band; incomplete breast band. Winter coloration: Bill black; all birds lack breast band and head band. ",200
Pink mucket (pearlymussel),Lampsilis abrupta,Clams,Endangered,Domestic,/docs/species_images/doc4977.jpg,https://ecos.fws.gov/docs/species_images/doc4977.jpg,"POLYGON((-93.8616440305422 32.505883021288,-93.8616440305422 39.7709686529637,-80.4126341271542 39.7709686529637,-80.4126341271542 32.505883021288,-93.8616440305422 32.505883021288))",United States,Suspension feeder on plankton; deposit feeder on bacteria and organic matter in substrate.,"Relatively silt-free substrates of sand, gravel, and cobble in good flows of smaller streams.
",Sedentary.,No information available,"Separate sexes, males releasing sperm to water column, where females uptake while filter-feeding/respiring.  A long-term breeder, meaning having a protracted spawning season lasting several months in the warm season.  Specialized larvae termed glochidia brooded in females gills; glochidia require host fish for several week parasitic stage on gills.  Black basses typically serve as host fishes, which females attract with modified mantle tissues.  ",No information available,200
Perdido Key beach mouse,Peromyscus polionotus trissyllepsis,Mammals,Endangered,Domestic,/docs/species_images/doc4484.bmp,https://ecos.fws.gov/docs/species_images/doc4484.bmp,"POLYGON((-87.5560306380705 30.2719057991989,-87.5560306380705 30.3302255703075,-87.3116682104916 30.3302255703075,-87.3116682104916 30.2719057991989,-87.5560306380705 30.2719057991989))",United States,No information available,No information available,No information available,No information available,No information available,"The Perdido Key beach mouse has a small body, haired tail, relatively large ears, and protuberant eyes. Its head and body length is 2.7 to 3.3 inches; the tail length is 1.7 to 2.5 inches. The upper parts are colored grayish fawn to wood brown with a very pale yellow hue and an indistinct middorsal stripe. The white of the underparts reaches to the lower border of the eyes and ears, and the tail is white to pale grayish brown with no dorsal stripe. This species is a nocturnal herbivore. Beach mice feed primarily on the seeds of sea oats (Panicum repens) and beach grass (Panicum amarums). When these seeds are scarce, especially in the late winter or early spring, beach mice may consume invertebrates (Ehrhart in Layne, 1978) or fruiting bodies of sea rocket (Cakile) sp. (U.S. Fish and Wildlife Service, 1987). 
",200
Penland beardtongue,Penstemon penlandii,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4185.jpg,https://ecos.fws.gov/docs/species_images/doc4185.jpg,"POLYGON((-106.385776761869 39.9370033714181,-106.385776761869 40.2161375969416,-105.89120247573 40.2161375969416,-105.89120247573 39.9370033714181,-106.385776761869 39.9370033714181))",United States,No information available,"Kremmling beardtongue is known from only one site 16 kilometers (10 miles) east of Kremmling, Colorado.  It is estimated the species occupies less than 1500 acres.  The plant is locally abundant but highly restricted to sparsely vegetated shales of the Troublesome Formation that are high in selenium.  The plant community is dominated by grasses and mixed shrubs (especially sagebrush, rabbitbrush, and bitterbrush).",No information available,No information available,"Kremmling beardtongue has rhizomes and vegetative growth.  It is unknown how clonal the species is, nor has its genetic diversity been investigated.  It is not known how long-lived Penstemon penlandii individuals are.  The plant exhibits a mixed mating system: it can produce seed with pollen from the same plant but is significantly more successful with pollen from another plant.  Pollen must be moved from plant to plant with the assistance of pollinators.  The primary pollinators are native solitary bees, especially those in the genus Osmia.  Conservation of Penland penstemon must include these pollinators.","The Kremmling beardtongue (also known as the Penland beardtongue) is a herbaceous (non-woody) plant species in the plantain family (Plantaginaceae) (formerly in the figwort family).  It is a compact, clumping plant with straight and pointed dark green, inrolled leaves.  The plant grows 2 to 6 inches tall and up to 8 inches wide from a spreading and deep root system, which secures the plant in the highly erodible soils of its habitat.  Its flowers are blue-violet and tubular, measuring 3/4 inch long.  In June and July you can find the showy Kremmling beardtongue in bloom.  
The Kremmling beardtongue is endemic to Middle Park in Grand County of northern Colorado, near the town of Kremmling.  Middle Park is a high elevation sagebrush valley at 7,500 feet nestled within the Rocky Mountains.  The Kremmling beardtongue is only known to occur on white to tan barren shale soil exposures.  There is only one population of the Kremmling beardtongue in the whole world making the Kremmling beard-tongue a local treasure.
The Kremmling beardtongue is threatened by off-highway vehicle (OHV) recreation, road maintenance, fugitive dust from nearby roads, and utility maintenance.  The species extremely small range and limited habitat availability make it more susceptible to extinction than other species with broader ranges.  Therefore, protection of existing populations is vital to the survival of the species.  Additional threats include climate change and nonnative invasive plant (weeds).  Protection of native bee pollinators and their nesting habitat is also essential to the Kremmling beardtongues survival.

",200
Penland alpine fen mustard,Eutrema penlandii,Flowering Plants,Threatened,Domestic,/docs/species_images/doc4182.JPG,https://ecos.fws.gov/docs/species_images/doc4182.JPG,"POLYGON((-106.296731583139 39.0739100006298,-106.296731583139 39.5385099494778,-105.89743951095 39.5385099494778,-105.89743951095 39.0739100006298,-106.296731583139 39.0739100006298))",United States,No information available,"Mosquito Range mustard is found in constantly moist areas dominated by moss species (fens).  These fens are fed by perennial snowbeds.  Snowbeds accumulate on the leeward (downwind) side of ridges and Mosquito Range mustard is generally located below these sites.  Geological formations where Mosquito Range mustard are found include the Minturn Formation (sandstone, shale, and scattered carbonated), the Belden Formation (shale, carbonated, and standstone), Leadville Dolomite, the Maroon Formation (sandstone, mudstone, and conglomerate), and intrusive porphyries .","Mosquito Range mustard is known from Lake, Park, and Summit counties in Colorado.  The plant is found only in the Mosquito Range at elevations ranging from 3,625 to 4,050 meters (11,900 to 13,280 feet).  The species is known from 9 populations (if separated by 1.6 kilometers (1 mile) and an area measuring 18 kilometers (11 miles) from north to south as well as east to west.","The author of the Colorado Flora considers Mosquito Range mustard
(E. penlandii) to be a variety of E.edwardsii, hence the synonym E. edwardsii var. penlandii.  Mosquito Range mustard was recently synonymized with E. edwardsii in the Flora of North America's.  In contrast, another study has found Mosquito Range mustard and E. edwardsii to be distinct from one another based on novel alleles, genetic diversity patterns, differences in morphology (morphometric measurements), and chromosome counts.  Further research is underway that will provide a more comprehensive overview of the relationship between Mosquito Range mustard and E. edwardsii.","Mosquito Range mustard flowering occurs from June into August, depending on snow-melt.  Fruits mature from late-July into August and possible September.  We are unsure how many seeds are in each seed pod or when seed pods split to release seeds.  Mosquito Range mustard reproduces only by seed, with no means of vegetative reproduction (spread by vegetative growth).  Little is known about reproduction, pollinators, or seed dispersal.","Mosquito Range mustard (also known as Penland alpine fen mustard) is a small perennial plant species in the mustard family. Though the mustard family itself is large, Mosquito Range mustard is one of only two species within its genus (Eutrema) found in North America. During June through August, Mosquito Range mustard can be seen blooming; the clusters of white, four petalled flowers topping each stem. Leaves are shiny and oval along the stem but shovel-shaped at the base of the plant. Plant height ranges from 1/2 to 6 inches. Mosquito Range mustard was first collected near Hoosier Pass in 1935 by C. William T. Penland, a professor of botany at Colorado College. The species occurs only in alpine meadows at elevations above 11,800 feet in the Mosquito Range of the Rocky Mountains in central Colorado. Plants are most often found along east facing, gentle slopes and basins that are fed moisture by slow-melting snowfields above. However, they can also be found in dryer locations. In either habitat, they are often rooted in tufts of mosses or hidden among short-bladed grasses. This harsh alpine environment is also home to many other rare plant species known only to the Rocky Mountains. Mosquito Range mustard is threatened by activities that damage its sensitive habitat or alter local hydrology. Because of the Mosquito Ranges spectacular views and scenery, it is a draw for recreation, especially in the summer months. Recreation activities such as off-road vehicle use (including winter travel), camping, hiking, and roads could pose a threat to Mosquito Range mustard and its habitat. Land development, including mining, may also have an impact on the species. In addition, we do not fully understand how climate change will affect the species or the habitat in which it resides. These factors make it difficult to predict the effects of climate change to the Mosquito Range mustard. However, given that the species already resides at elevation extremes where there is nowhere to migrate higher, and given that the species is dependent on snowmelt and wet conditions, we expect that the Mosquito Range mustard is vulnerable to anticipated trends.",200
Peninsular bighorn sheep,Ovis canadensis nelsoni,Mammals,Endangered,Both Domestic and Foreign,/docs/species_images/doc4921.jpg,https://ecos.fws.gov/docs/species_images/doc4921.jpg,"POLYGON((-116.750860191247 32.6219401199431,-116.750860191247 33.9375245989094,-115.875831977011 33.9375245989094,-115.875831977011 32.6219401199431,-116.750860191247 32.6219401199431))",United States,No information available,No information available,No information available,No information available,No information available,"A medium-size bovid. Muscular body, with thick neck. Color varies from dark brown above in northern mountains to pale tan in desert; belly, rump patch, back of legs, muzzle, and eye patch are white. Short, dark brown tail. Coat sheds in patches June - July. Ram has massive brown horns that curve up and back over ears, then down, around, and up past cheeks in C-shaped ""curl""; spread to 33"" (83 cm). Ewe has short, slender horns that never form more than half-curl. Juvenile has soft, woolly, creamy-fawn coat. Ht",200
Peirson's milk-vetch,Astragalus magdalenae var. peirsonii,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5711.jpg,https://ecos.fws.gov/docs/species_images/doc5711.jpg,"POLYGON((-115.375825550495 32.6998123761546,-115.375825550495 33.1875468932577,-114.813282964169 33.1875468932577,-114.813282964169 32.6998123761546,-115.375825550495 32.6998123761546))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
