common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Akekee,Loxops caeruleirostris,Birds,Endangered,Domestic,Hawaii,HI,United States
Akikiki,Oreomystis bairdi,Birds,Endangered,Domestic,Hawaii,HI,United States
Alabama beach mouse,Peromyscus polionotus ammobates,Mammals,Endangered,Domestic,Alabama,AL,United States
Alabama canebrake pitcher-plant,Sarracenia rubra ssp. alabamensis,Flowering Plants,Endangered,Domestic,Alabama,AL,United States
Alabama lampmussel,Lampsilis virescens,Clams,Endangered,Domestic,Tennessee,TN,United States
Alabama lampmussel,Lampsilis virescens,Clams,Endangered,Domestic,Alabama,AL,United States
Alabama leather flower,Clematis socialis,Flowering Plants,Endangered,Domestic,Alabama,AL,United States
Alabama leather flower,Clematis socialis,Flowering Plants,Endangered,Domestic,Georgia,GA,United States
Alabama moccasinshell,Medionidus acutissimus,Clams,Threatened,Domestic,Alabama,AL,United States
Alabama moccasinshell,Medionidus acutissimus,Clams,Threatened,Domestic,Georgia,GA,United States
Alabama moccasinshell,Medionidus acutissimus,Clams,Threatened,Domestic,Tennessee,TN,United States
Alabama moccasinshell,Medionidus acutissimus,Clams,Threatened,Domestic,Mississippi,MS,United States
Alabama pearlshell,Margaritifera marrianae,Clams,Endangered,Domestic,Alabama,AL,United States
American alligator,Alligator mississippiensis,Reptiles,Threatened,Domestic,Florida,FL,United States
American alligator,Alligator mississippiensis,Reptiles,Threatened,Domestic,Oklahoma,OK,United States
American alligator,Alligator mississippiensis,Reptiles,Threatened,Domestic,North Carolina,NC,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Rhode Island,RI,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Texas,TX,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Massachusetts,MA,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,South Dakota,SD,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Ohio,OH,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Arkansas,AR,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Oklahoma,OK,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Kansas,KS,United States
American burying beetle,Nicrophorus americanus,Insects,Threatened,Both Domestic and Foreign,Nebraska,NE,United States
American crocodile,Crocodylus acutus,Reptiles,Threatened,Both Domestic and Foreign,Florida,FL,United States
Anastasia Island beach mouse,Peromyscus polionotus phasma,Mammals,Endangered,Domestic,Florida,FL,United States
Apache trout,Oncorhynchus apache,Fishes,Threatened,Domestic,Arizona,AZ,United States
Applegate's milk-vetch,Astragalus applegatei,Flowering Plants,Endangered,Domestic,California,CA,United States
Applegate's milk-vetch,Astragalus applegatei,Flowering Plants,Endangered,Domestic,Oregon,OR,United States
Arizona hedgehog cactus,Echinocereus triglochidiatus var. arizonicus,Flowering Plants,Endangered,Domestic,Arizona,AZ,United States
Arkansas fatmucket,Lampsilis powellii,Clams,Threatened,Domestic,Arkansas,AR,United States
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Amphibians,Endangered,Both Domestic and Foreign,California,CA,United States
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Fishes,Endangered,Domestic,Nevada,NV,United States
Ash Meadows gumplant,Grindelia fraxinipratensis,Flowering Plants,Threatened,Domestic,Nevada,NV,United States
Ash Meadows ivesia,Ivesia kingii var. eremica,Flowering Plants,Threatened,Domestic,Nevada,NV,United States
Ash meadows milk-vetch,Astragalus phoenix,Flowering Plants,Threatened,Domestic,Nevada,NV,United States
Ash Meadows naucorid,Ambrysus amargosus,Insects,Threatened,Domestic,Nevada,NV,United States
