"country","esa_status","species_group","species_count"
"Afghanistan","Endangered","Mammals",3
"Afghanistan","Endangered","Reptiles",1
"Albania","Endangered","Reptiles",1
"Algeria","Endangered","Birds",1
"Algeria","Endangered","Mammals",1
"American Samoa","Endangered","Reptiles",2
"Angola","Endangered","Mammals",2
"Angola","Endangered","Reptiles",1
"Angola","Threatened","Reptiles",1
"Antigua and Barbuda","Endangered","Reptiles",2
"Antigua and Barbuda","Threatened","Reptiles",1
"Argentina","Endangered","Birds",4
"Argentina","Endangered","Mammals",4
"Argentina","Endangered","Reptiles",1
"Argentina","Threatened","Birds",1
"Argentina","Threatened","Reptiles",1
"Aruba","Endangered","Reptiles",1
"Aruba","Threatened","Birds",1
"Aruba","Threatened","Reptiles",1
"Australia","Endangered","Birds",5
"Australia","Endangered","Mammals",12
"Australia","Endangered","Reptiles",2
"Australia","Threatened","Mammals",1
"Australia","Threatened","Reptiles",2
"Bahamas","Endangered","Birds",1
"Bahamas","Endangered","Reptiles",4
"Bahamas","Threatened","Birds",1
"Bahamas","Threatened","Mammals",1
"Bahamas","Threatened","Reptiles",5
"Bahrain","Endangered","Reptiles",2
"Bangladesh","Endangered","Mammals",3
"Bangladesh","Endangered","Reptiles",1
"Bangladesh","Threatened","Reptiles",1
"Barbados","Endangered","Birds",1
"Barbados","Endangered","Reptiles",2
"Barbados","Threatened","Birds",1
"Belize","Endangered","Reptiles",2
"Belize","Threatened","Birds",1
"Belize","Threatened","Corals",1
"Belize","Threatened","Mammals",1
"Belize","Threatened","Reptiles",1
"Benin","Endangered","Reptiles",1
"Benin","Threatened","Mammals",1
"Benin","Threatened","Reptiles",1
"Bermuda","Threatened","Birds",1
"Bhutan","Endangered","Mammals",3
"Bolivia","Endangered","Mammals",2
"Bolivia","Threatened","Reptiles",1
"Brazil","Endangered","Birds",6
"Brazil","Endangered","Mammals",3
"Brazil","Endangered","Reptiles",2
"Brazil","Threatened","Birds",3
"Brazil","Threatened","Mammals",1
"Brazil","Threatened","Reptiles",2
"British Indian Ocean Territory","Endangered","Reptiles",1
"British Virgin Islands","Endangered","Reptiles",4
"British Virgin Islands","Threatened","Amphibians",1
"British Virgin Islands","Threatened","Birds",2
"Brunei","Threatened","Reptiles",1
"Burkina Faso","Threatened","Mammals",1
"Burundi","Threatened","Mammals",1
"Cambodia","Endangered","Mammals",1
"Cambodia","Endangered","Reptiles",1
"Cambodia","Threatened","Reptiles",1
"Cameroon","Endangered","Amphibians",1
"Cameroon","Endangered","Birds",2
"Cameroon","Threatened","Amphibians",1
"Cameroon","Threatened","Mammals",1
"Cameroon","Threatened","Reptiles",1
"Canada","Endangered","Birds",4
"Canada","Endangered","Clams",2
"Canada","Endangered","Fishes",1
"Canada","Endangered","Insects",2
