"state","esa_status","species_group","species_count"
"Alabama","Endangered","Amphibians",2
"Alabama","Endangered","Birds",2
"Alabama","Endangered","Clams",20
"Alabama","Endangered","Ferns and Allies",1
"Alabama","Endangered","Fishes",1
"Alabama","Endangered","Flowering Plants",5
"Alabama","Endangered","Mammals",4
"Alabama","Endangered","Reptiles",3
"Alabama","Species of Concern","Birds",1
"Alabama","Threatened","Amphibians",1
"Alabama","Threatened","Birds",4
"Alabama","Threatened","Clams",3
"Alabama","Threatened","Fishes",2
"Alabama","Threatened","Flowering Plants",2
"Alabama","Threatened","Mammals",2
"Alabama","Threatened","Reptiles",5
"Alaska","Endangered","Birds",2
"Alaska","Species of Concern","Birds",1
"Alaska","Threatened","Birds",2
"Alaska","Threatened","Mammals",2
"American Samoa","Endangered","Reptiles",1
"American Samoa","Species of Concern","Birds",2
"Arizona","Endangered","Birds",5
"Arizona","Endangered","Fishes",6
"Arizona","Endangered","Flowering Plants",2
"Arizona","Endangered","Mammals",6
"Arizona","Endangered","Snails",1
"Arizona","Species of Concern","Birds",2
"Arizona","Species of Concern","Mammals",1
"Arizona","Threatened","Birds",1
"Arizona","Threatened","Fishes",4
"Arizona","Threatened","Reptiles",2
"Arkansas","Endangered","Amphibians",1
"Arkansas","Endangered","Birds",3
"Arkansas","Endangered","Clams",2
"Arkansas","Endangered","Crustaceans",2
"Arkansas","Endangered","Fishes",2
"Arkansas","Endangered","Flowering Plants",2
"Arkansas","Endangered","Mammals",3
"Arkansas","Species of Concern","Birds",1
"Arkansas","Threatened","Birds",3
"Arkansas","Threatened","Clams",2
"Arkansas","Threatened","Fishes",1
"Arkansas","Threatened","Flowering Plants",1
"Arkansas","Threatened","Insects",1
"Arkansas","Threatened","Mammals",1
"California","Endangered","Amphibians",3
"California","Endangered","Birds",8
"California","Endangered","Crustaceans",1
"California","Endangered","Fishes",7
"California","Endangered","Flowering Plants",14
"California","Endangered","Insects",12
"California","Endangered","Mammals",8
"California","Endangered","Reptiles",2
"California","Extinction","Birds",1
"California","Species of Concern","Amphibians",1
"California","Species of Concern","Birds",10
"California","Species of Concern","Mammals",2
"California","Threatened","Amphibians",3
"California","Threatened","Birds",4
"California","Threatened","Fishes",4
"California","Threatened","Flowering Plants",8
"California","Threatened","Insects",4
"California","Threatened","Mammals",1
"California","Threatened","Reptiles",4
"Colorado","Endangered","Birds",3
"Colorado","Endangered","Fishes",4
"Colorado","Endangered","Flowering Plants",7
"Colorado","Endangered","Mammals",2
"Colorado","Species of Concern","Birds",4
"Colorado","Threatened","Birds",4
"Colorado","Threatened","Fishes",1
"Colorado","Threatened","Flowering Plants",7
"Colorado","Threatened","Insects",1
"Colorado","Threatened","Mammals",2
"Connecticut","Endangered","Birds",1
"Connecticut","Endangered","Clams",1
"Connecticut","Endangered","Mammals",1
"Connecticut","Endangered","Reptiles",2
"Connecticut","Species of Concern","Birds",1
"Connecticut","Threatened","Birds",3
"Connecticut","Threatened","Insects",1
"Connecticut","Threatened","Mammals",1
"Connecticut","Threatened","Reptiles",1
"Delaware","Endangered","Flowering Plants",1
"Delaware","Endangered","Reptiles",2
"Delaware","Species of Concern","Birds",1
"Delaware","Threatened","Birds",3
"Delaware","Threatened","Flowering Plants",2
"Delaware","Threatened","Mammals",2
"Delaware","Threatened","Reptiles",1
"District of Columbia","Threatened","Mammals",1
"Florida","Endangered","Birds",4
"Florida","Endangered","Clams",4
"Florida","Endangered","Flowering Plants",2
"Florida","Endangered","Insects",1
"Florida","Endangered","Mammals",10
"Florida","Endangered","Reptiles",3
"Florida","Species of Concern","Birds",5
"Florida","Species of Concern","Mammals",1
"Florida","Threatened","Birds",7
"Florida","Threatened","Clams",3
"Florida","Threatened","Crustaceans",1
"Florida","Threatened","Fishes",2
"Florida","Threatened","Flowering Plants",2
"Florida","Threatened","Mammals",3
"Florida","Threatened","Reptiles",6
"Georgia","Endangered","Birds",1
"Georgia","Endangered","Clams",8
"Georgia","Endangered","Flowering Plants",7
"Georgia","Endangered","Mammals",2
"Georgia","Endangered","Reptiles",3
"Georgia","Species of Concern","Birds",1
"Georgia","Threatened","Birds",5
"Georgia","Threatened","Clams",3
"Georgia","Threatened","Fishes",2
"Georgia","Threatened","Flowering Plants",3
"Georgia","Threatened","Mammals",2
"Georgia","Threatened","Reptiles",2
"Guam","Endangered","Reptiles",2
"Guam","Extinction","Birds",1
"Guam","Threatened","Mammals",1
"Hawaii","Endangered","Arachnids",1
"Hawaii","Endangered","Birds",12
"Hawaii","Endangered","Flowering Plants",1
"Hawaii","Endangered","Insects",2
"Hawaii","Endangered","Mammals",1
"Hawaii","Endangered","Reptiles",2
"Hawaii","Threatened","Birds",2
"Hawaii","Threatened","Reptiles",2
"Idaho","Endangered","Fishes",1
"Idaho","Endangered","Mammals",1
"Idaho","Species of Concern","Birds",1
"Idaho","Threatened","Birds",1
"Idaho","Threatened","Fishes",1
"Idaho","Threatened","Mammals",3
"Illinois","Endangered","Birds",2
"Illinois","Endangered","Clams",7
"Illinois","Endangered","Fishes",1
"Illinois","Endangered","Insects",3
"Illinois","Endangered","Mammals",2
"Illinois","Species of Concern","Birds",3
"Illinois","Threatened","Birds",2
"Illinois","Threatened","Flowering Plants",3
"Illinois","Threatened","Mammals",1
"Illinois","Threatened","Reptiles",1
"Indiana","Endangered","Birds",2
"Indiana","Endangered","Clams",8
"Indiana","Endangered","Flowering Plants",2
"Indiana","Endangered","Insects",2
"Indiana","Endangered","Mammals",2
"Indiana","Species of Concern","Birds",3
"Indiana","Threatened","Birds",2
"Indiana","Threatened","Flowering Plants",2
"Indiana","Threatened","Mammals",1
"Indiana","Threatened","Reptiles",2
"Iowa","Endangered","Birds",1
"Iowa","Endangered","Clams",2
"Iowa","Endangered","Fishes",2
"Iowa","Endangered","Insects",1
"Iowa","Endangered","Mammals",1
"Iowa","Species of Concern","Birds",2
"Iowa","Threatened","Birds",1
"Iowa","Threatened","Flowering Plants",4
"Iowa","Threatened","Insects",1
"Iowa","Threatened","Mammals",1
"Iowa","Threatened","Reptiles",1
"Kansas","Endangered","Birds",2
"Kansas","Endangered","Fishes",2
"Kansas","Endangered","Mammals",2
"Kansas","Species of Concern","Birds",2
"Kansas","Threatened","Birds",3
"Kansas","Threatened","Fishes",1
"Kansas","Threatened","Flowering Plants",1
"Kansas","Threatened","Insects",1
"Kansas","Threatened","Mammals",1
"Kentucky","Endangered","Birds",1
"Kentucky","Endangered","Clams",17
"Kentucky","Endangered","Fishes",2
"Kentucky","Endangered","Flowering Plants",2
"Kentucky","Endangered","Mammals",3
"Kentucky","Species of Concern","Birds",1
"Kentucky","Threatened","Birds",1
"Kentucky","Threatened","Flowering Plants",1
"Kentucky","Threatened","Mammals",1
"Louisiana","Endangered","Birds",2
"Louisiana","Endangered","Clams",2
"Louisiana","Endangered","Ferns and Allies",1
"Louisiana","Endangered","Fishes",1
"Louisiana","Endangered","Reptiles",3
"Louisiana","Species of Concern","Birds",1
"Louisiana","Threatened","Birds",3
"Louisiana","Threatened","Clams",1
"Louisiana","Threatened","Fishes",1
"Louisiana","Threatened","Mammals",2
"Louisiana","Threatened","Reptiles",3
"Maine","Endangered","Birds",1
"Maine","Endangered","Fishes",1
"Maine","Endangered","Insects",1
"Maine","Endangered","Reptiles",2
"Maine","Species of Concern","Birds",2
"Maine","Threatened","Birds",2
"Maine","Threatened","Flowering Plants",1
"Maine","Threatened","Mammals",2
"Maryland","Endangered","Clams",1
"Maryland","Endangered","Flowering Plants",2
"Maryland","Endangered","Mammals",1
"Maryland","Endangered","Reptiles",2
"Maryland","Species of Concern","Birds",1
"Maryland","Threatened","Birds",3
"Maryland","Threatened","Flowering Plants",2
"Maryland","Threatened","Insects",2
"Maryland","Threatened","Mammals",2
"Maryland","Threatened","Reptiles",1
"Massachusetts","Endangered","Birds",1
"Massachusetts","Endangered","Clams",1
"Massachusetts","Endangered","Flowering Plants",1
"Massachusetts","Endangered","Insects",1
"Massachusetts","Endangered","Reptiles",2
"Massachusetts","Species of Concern","Birds",1
"Massachusetts","Threatened","Birds",3
"Massachusetts","Threatened","Flowering Plants",1
"Massachusetts","Threatened","Insects",3
"Massachusetts","Threatened","Mammals",1
"Massachusetts","Threatened","Reptiles",1
"Michigan","Endangered","Birds",1
"Michigan","Endangered","Clams",3
"Michigan","Endangered","Insects",3
"Michigan","Endangered","Mammals",1
"Michigan","Species of Concern","Birds",3
"Michigan","Threatened","Birds",2
"Michigan","Threatened","Flowering Plants",2
"Michigan","Threatened","Mammals",2
"Michigan","Threatened","Reptiles",2
"Minnesota","Endangered","Birds",1
"Minnesota","Endangered","Clams",3
"Minnesota","Endangered","Fishes",1
"Minnesota","Endangered","Flowering Plants",1
"Minnesota","Endangered","Insects",2
"Minnesota","Species of Concern","Birds",2
"Minnesota","Threatened","Birds",2
"Minnesota","Threatened","Flowering Plants",3
"Minnesota","Threatened","Insects",1
"Minnesota","Threatened","Mammals",2
"Mississippi","Endangered","Amphibians",1
"Mississippi","Endangered","Birds",3
"Mississippi","Endangered","Clams",8
"Mississippi","Endangered","Ferns and Allies",1
"Mississippi","Endangered","Fishes",1
"Mississippi","Endangered","Flowering Plants",1
"Mississippi","Endangered","Mammals",2
"Mississippi","Endangered","Reptiles",3
"Mississippi","Species of Concern","Birds",1
"Mississippi","Threatened","Birds",4
"Mississippi","Threatened","Clams",1
"Mississippi","Threatened","Fishes",2
"Mississippi","Threatened","Flowering Plants",1
"Mississippi","Threatened","Mammals",2
"Mississippi","Threatened","Reptiles",3
"Missouri","Endangered","Amphibians",2
"Missouri","Endangered","Birds",2
"Missouri","Endangered","Clams",5
"Missouri","Endangered","Crustaceans",1
"Missouri","Endangered","Fishes",2
"Missouri","Endangered","Flowering Plants",2
"Missouri","Endangered","Insects",1
"Missouri","Endangered","Mammals",3
"Missouri","Species of Concern","Birds",2
"Missouri","Threatened","Birds",2
"Missouri","Threatened","Crustaceans",2
"Missouri","Threatened","Fishes",2
"Missouri","Threatened","Flowering Plants",2
"Missouri","Threatened","Mammals",1
"Montana","Endangered","Birds",2
"Montana","Endangered","Fishes",2
"Montana","Endangered","Mammals",1
"Montana","Species of Concern","Birds",2
"Montana","Threatened","Birds",3
"Montana","Threatened","Fishes",1
"Montana","Threatened","Mammals",3
"Nebraska","Endangered","Birds",3
"Nebraska","Endangered","Fishes",2
"Nebraska","Endangered","Flowering Plants",1
"Nebraska","Species of Concern","Birds",1
"Nebraska","Threatened","Birds",3
"Nebraska","Threatened","Flowering Plants",1
"Nebraska","Threatened","Insects",1
"Nebraska","Threatened","Mammals",1
"Nevada","Endangered","Birds",2
"Nevada","Endangered","Fishes",8
"Nevada","Species of Concern","Birds",2
"Nevada","Threatened","Birds",1
"Nevada","Threatened","Fishes",2
"Nevada","Threatened","Flowering Plants",4
"Nevada","Threatened","Insects",1
"Nevada","Threatened","Reptiles",1
"New Hampshire","Endangered","Birds",1
"New Hampshire","Endangered","Clams",1
"New Hampshire","Endangered","Flowering Plants",1
"New Hampshire","Endangered","Insects",1
"New Hampshire","Endangered","Reptiles",2
"New Hampshire","Threatened","Birds",3
"New Hampshire","Threatened","Mammals",2
"New Jersey","Endangered","Birds",1
"New Jersey","Endangered","Clams",1
"New Jersey","Endangered","Mammals",1
"New Jersey","Endangered","Reptiles",2
"New Jersey","Species of Concern","Birds",1
"New Jersey","Threatened","Birds",3
"New Jersey","Threatened","Flowering Plants",2
"New Jersey","Threatened","Insects",1
"New Jersey","Threatened","Mammals",2
"New Jersey","Threatened","Reptiles",1
"New Mexico","Endangered","Birds",2
"New Mexico","Endangered","Crustaceans",1
"New Mexico","Endangered","Fishes",3
"New Mexico","Endangered","Flowering Plants",3
"New Mexico","Endangered","Mammals",4
"New Mexico","Endangered","Snails",3
"New Mexico","Species of Concern","Mammals",1
"New Mexico","Threatened","Birds",3
"New Mexico","Threatened","Fishes",3
"New Mexico","Threatened","Flowering Plants",2
"New Mexico","Threatened","Mammals",1
"New Mexico","Threatened","Reptiles",1
"New York","Endangered","Birds",2
"New York","Endangered","Clams",4
"New York","Endangered","Flowering Plants",1
"New York","Endangered","Insects",1
"New York","Endangered","Mammals",1
"New York","Endangered","Reptiles",2
"New York","Species of Concern","Birds",3
"New York","Threatened","Birds",3
"New York","Threatened","Flowering Plants",2
"New York","Threatened","Mammals",1
"New York","Threatened","Reptiles",2
"New York","Threatened","Snails",1
"North Carolina","Endangered","Birds",2
"North Carolina","Endangered","Clams",5
"North Carolina","Endangered","Flowering Plants",7
"North Carolina","Endangered","Mammals",3
"North Carolina","Endangered","Reptiles",3
"North Carolina","Species of Concern","Birds",3
"North Carolina","Species of Concern","Clams",1
"North Carolina","Threatened","Birds",5
"North Carolina","Threatened","Flowering Plants",2
"North Carolina","Threatened","Mammals",2
"North Carolina","Threatened","Reptiles",4
"North Dakota","Endangered","Birds",2
"North Dakota","Endangered","Fishes",1
"North Dakota","Species of Concern","Birds",1
"North Dakota","Threatened","Birds",2
"North Dakota","Threatened","Flowering Plants",1
"North Dakota","Threatened","Insects",1
"North Dakota","Threatened","Mammals",1
"Northern Mariana Islands","Endangered","Reptiles",2
"Northern Mariana Islands","Extinction","Birds",1
"Northern Mariana Islands","Threatened","Mammals",1
"Ohio","Endangered","Birds",1
"Ohio","Endangered","Clams",8
"Ohio","Endangered","Flowering Plants",1
"Ohio","Endangered","Insects",2
"Ohio","Endangered","Mammals",1
"Ohio","Species of Concern","Birds",3
"Ohio","Threatened","Birds",2
"Ohio","Threatened","Flowering Plants",2
"Ohio","Threatened","Insects",1
"Ohio","Threatened","Mammals",1
"Ohio","Threatened","Reptiles",2
"Oklahoma","Endangered","Birds",3
"Oklahoma","Endangered","Clams",1
"Oklahoma","Endangered","Mammals",3
"Oklahoma","Species of Concern","Birds",1
"Oklahoma","Threatened","Birds",3
"Oklahoma","Threatened","Fishes",1
"Oklahoma","Threatened","Insects",1
"Oklahoma","Threatened","Mammals",1
"Oklahoma","Threatened","Reptiles",1
"Oregon","Endangered","Birds",1
"Oregon","Endangered","Fishes",2
"Oregon","Endangered","Flowering Plants",5
"Oregon","Endangered","Insects",2
"Oregon","Endangered","Reptiles",2
"Oregon","Species of Concern","Birds",2
"Oregon","Threatened","Amphibians",1
"Oregon","Threatened","Birds",5
"Oregon","Threatened","Fishes",2
"Oregon","Threatened","Flowering Plants",3
"Oregon","Threatened","Insects",1
"Oregon","Threatened","Mammals",2
"Oregon","Threatened","Reptiles",2
"Palau","Endangered","Reptiles",3
"Pennsylvania","Endangered","Birds",1
"Pennsylvania","Endangered","Clams",5
"Pennsylvania","Endangered","Flowering Plants",2
"Pennsylvania","Endangered","Mammals",1
"Pennsylvania","Species of Concern","Birds",2
"Pennsylvania","Threatened","Birds",2
"Pennsylvania","Threatened","Flowering Plants",1
"Pennsylvania","Threatened","Mammals",1
"Pennsylvania","Threatened","Reptiles",2
"Puerto Rico","Endangered","Birds",4
"Puerto Rico","Endangered","Flowering Plants",14
"Puerto Rico","Endangered","Reptiles",4
"Puerto Rico","Species of Concern","Birds",3
"Puerto Rico","Threatened","Amphibians",2
"Puerto Rico","Threatened","Birds",3
"Puerto Rico","Threatened","Flowering Plants",4
"Puerto Rico","Threatened","Insects",1
"Puerto Rico","Threatened","Mammals",1
"Puerto Rico","Threatened","Reptiles",2
"Rhode Island","Endangered","Birds",1
"Rhode Island","Endangered","Reptiles",2
"Rhode Island","Species of Concern","Birds",1
"Rhode Island","Threatened","Birds",3
"Rhode Island","Threatened","Insects",1
"Rhode Island","Threatened","Mammals",1
"South Carolina","Endangered","Birds",1
"South Carolina","Endangered","Clams",1
"South Carolina","Endangered","Flowering Plants",6
"South Carolina","Endangered","Reptiles",2
"South Carolina","Species of Concern","Birds",2
"South Carolina","Threatened","Birds",5
"South Carolina","Threatened","Flowering Plants",5
"South Carolina","Threatened","Mammals",2
"South Carolina","Threatened","Reptiles",3
"South Dakota","Endangered","Birds",2
"South Dakota","Endangered","Clams",1
"South Dakota","Endangered","Fishes",2
"South Dakota","Endangered","Mammals",1
"South Dakota","Species of Concern","Birds",1
"South Dakota","Threatened","Birds",2
"South Dakota","Threatened","Flowering Plants",1
"South Dakota","Threatened","Insects",2
"South Dakota","Threatened","Mammals",1
"Tennessee","Endangered","Birds",1
"Tennessee","Endangered","Clams",26
"Tennessee","Endangered","Fishes",5
"Tennessee","Endangered","Flowering Plants",1
"Tennessee","Endangered","Mammals",3
"Tennessee","Species of Concern","Birds",1
"Tennessee","Threatened","Birds",1
"Tennessee","Threatened","Clams",1
"Tennessee","Threatened","Fishes",2
"Tennessee","Threatened","Flowering Plants",1
"Tennessee","Threatened","Mammals",1
"Tennessee","Threatened","Reptiles",1
"Texas","Endangered","Amphibians",3
"Texas","Endangered","Birds",7
"Texas","Endangered","Fishes",6
"Texas","Endangered","Flowering Plants",2
"Texas","Endangered","Mammals",2
"Texas","Endangered","Reptiles",3
"Texas","Endangered","Snails",1
"Texas","Species of Concern","Birds",2
"Texas","Species of Concern","Flowering Plants",1
