"common_name","esa_status","species_group","state"
"Akekee","Endangered","Birds","Hawaii"
"Akikiki","Endangered","Birds","Hawaii"
"Alabama beach mouse","Endangered","Mammals","Alabama"
"Alabama canebrake pitcher-plant","Endangered","Flowering Plants","Alabama"
"Alabama lampmussel","Endangered","Clams","Tennessee"
"Alabama lampmussel","Endangered","Clams","Alabama"
"Alabama leather flower","Endangered","Flowering Plants","Alabama"
"Alabama leather flower","Endangered","Flowering Plants","Georgia"
"Alabama moccasinshell","Threatened","Clams","Alabama"
"Alabama moccasinshell","Threatened","Clams","Georgia"
"Alabama moccasinshell","Threatened","Clams","Tennessee"
"Alabama moccasinshell","Threatened","Clams","Mississippi"
"Alabama pearlshell","Endangered","Clams","Alabama"
"American alligator","Threatened","Reptiles","Florida"
"American alligator","Threatened","Reptiles","Oklahoma"
"American alligator","Threatened","Reptiles","North Carolina"
"American burying beetle","Threatened","Insects","Rhode Island"
"American burying beetle","Threatened","Insects","Texas"
"American burying beetle","Threatened","Insects","Massachusetts"
"American burying beetle","Threatened","Insects","South Dakota"
"American burying beetle","Threatened","Insects","Ohio"
"American burying beetle","Threatened","Insects","Arkansas"
"American burying beetle","Threatened","Insects","Oklahoma"
"American burying beetle","Threatened","Insects","Kansas"
"American burying beetle","Threatened","Insects","Nebraska"
"American crocodile","Threatened","Reptiles","Florida"
"Anastasia Island beach mouse","Endangered","Mammals","Florida"
"Apache trout","Threatened","Fishes","Arizona"
"Applegate's milk-vetch","Endangered","Flowering Plants","California"
"Applegate's milk-vetch","Endangered","Flowering Plants","Oregon"
"Arizona hedgehog cactus","Endangered","Flowering Plants","Arizona"
"Arkansas fatmucket","Threatened","Clams","Arkansas"
"Arroyo (=arroyo southwestern) toad","Endangered","Amphibians","California"
"Ash Meadows Amargosa pupfish","Endangered","Fishes","Nevada"
"Ash Meadows gumplant","Threatened","Flowering Plants","Nevada"
"Ash Meadows ivesia","Threatened","Flowering Plants","Nevada"
"Ash meadows milk-vetch","Threatened","Flowering Plants","Nevada"
"Ash Meadows naucorid","Threatened","Insects","Nevada"
"Ash Meadows speckled dace","Endangered","Fishes","Nevada"
"Atlantic puffin","Species of Concern","Birds","Maine"
"Atlantic salmon","Endangered","Fishes","Maine"
"Atlantic sturgeon (Gulf subspecies)","Threatened","Fishes","Louisiana"
"Atlantic sturgeon (Gulf subspecies)","Threatened","Fishes","Florida"
"Atlantic sturgeon (Gulf subspecies)","Threatened","Fishes","Alabama"
"Atlantic sturgeon (Gulf subspecies)","Threatened","Fishes","Mississippi"
"Audubon's crested caracara","Threatened","Birds","Florida"
"Austin blind Salamander","Endangered","Amphibians","Texas"
"Bachman's sparrow","Species of Concern","Birds","Florida"
"Bachman's sparrow","Species of Concern","Birds","Virginia"
"Band-rumped storm-petrel","Endangered","Birds","Hawaii"
"Barton Springs salamander","Endangered","Amphibians","Texas"
"Bay checkerspot butterfly","Threatened","Insects","California"
"Beach layia","Endangered","Flowering Plants","California"
"Beautiful goetzea","Endangered","Flowering Plants","Puerto Rico"
"Beautiful shiner","Threatened","Fishes","Arizona"
"Beautiful shiner","Threatened","Fishes","New Mexico"
"Behren's silverspot butterfly","Endangered","Insects","California"
"Benton County cave crayfish","Endangered","Crustaceans","Arkansas"
"Benton County cave crayfish","Endangered","Crustaceans","Missouri"
"Big Bend gambusia","Endangered","Fishes","Texas"
"Big Creek Crayfish","Threatened","Crustaceans","Missouri"
"Black-capped petrel","Threatened","Birds","North Carolina"
"Black-capped petrel","Threatened","Birds","Georgia"
"Black-capped petrel","Threatened","Birds","South Carolina"
"Black-footed ferret","Endangered","Mammals","New Mexico"
"Black-footed ferret","Endangered","Mammals","Montana"
"Black-footed ferret","Endangered","Mammals","Colorado"
"Black-footed ferret","Endangered","Mammals","Kansas"
"Black-footed ferret","Endangered","Mammals","Arizona"
"Black-footed ferret","Endangered","Mammals","South Dakota"
"Black pine snake","Threatened","Reptiles","Mississippi"
"Black pine snake","Threatened","Reptiles","Alabama"
"Black Rail","Species of Concern","Birds","Indiana"
"Black Rail","Species of Concern","Birds","Alabama"
"Black Rail","Species of Concern","Birds","Connecticut"
"Black Rail","Species of Concern","Birds","Pennsylvania"
"Black Rail","Species of Concern","Birds","Virgin Islands"
"Black Rail","Species of Concern","Birds","Maryland"
"Black Rail","Species of Concern","Birds","Delaware"
"Black Rail","Species of Concern","Birds","West Virginia"
"Black Rail","Species of Concern","Birds","Colorado"
"Black Rail","Species of Concern","Birds","Oklahoma"
"Black Rail","Species of Concern","Birds","Kansas"
"Black Rail","Species of Concern","Birds","Kentucky"
"Black Rail","Species of Concern","Birds","Massachusetts"
"Black Rail","Species of Concern","Birds","Texas"
"Black Rail","Species of Concern","Birds","New York"
"Black Rail","Species of Concern","Birds","Virginia"
"Black Rail","Species of Concern","Birds","Rhode Island"
"Black Rail","Species of Concern","Birds","Arkansas"
"Black Rail","Species of Concern","Birds","Ohio"
"Black Rail","Species of Concern","Birds","Georgia"
"Black Rail","Species of Concern","Birds","Tennessee"
"Black Rail","Species of Concern","Birds","South Carolina"
"Black Rail","Species of Concern","Birds","Louisiana"
"Black Rail","Species of Concern","Birds","Michigan"
"Black Rail","Species of Concern","Birds","North Carolina"
"Black Rail","Species of Concern","Birds","Iowa"
"Black Rail","Species of Concern","Birds","Illinois"
"Black Rail","Species of Concern","Birds","Florida"
"Black Rail","Species of Concern","Birds","Mississippi"
"Black Rail","Species of Concern","Birds","New Jersey"
"Black Rail","Species of Concern","Birds","Puerto Rico"
"Black Rail","Species of Concern","Birds","Missouri"
"Black tern","Species of Concern","Birds","Colorado"
"Black tern","Species of Concern","Birds","Washington"
"Black tern","Species of Concern","Birds","North Dakota"
"Black tern","Species of Concern","Birds","Missouri"
"Black tern","Species of Concern","Birds","Idaho"
"Black tern","Species of Concern","Birds","Wisconsin"
"Black tern","Species of Concern","Birds","Kansas"
"Black tern","Species of Concern","Birds","New York"
"Black tern","Species of Concern","Birds","South Dakota"
"Black tern","Species of Concern","Birds","Maine"
"Black tern","Species of Concern","Birds","Nevada"
"Black tern","Species of Concern","Birds","Ohio"
"Black tern","Species of Concern","Birds","Indiana"
"Black tern","Species of Concern","Birds","Michigan"
"Black tern","Species of Concern","Birds","Utah"
"Black tern","Species of Concern","Birds","Nebraska"
"Black tern","Species of Concern","Birds","California"
"Black tern","Species of Concern","Birds","Montana"
"Black tern","Species of Concern","Birds","Illinois"
"Black tern","Species of Concern","Birds","Iowa"
"Black tern","Species of Concern","Birds","Wyoming"
"Black tern","Species of Concern","Birds","Oregon"
"Black tern","Species of Concern","Birds","Minnesota"
"Black toad","Species of Concern","Amphibians","California"
"Black warrior (=Sipsey Fork) Waterdog","Endangered","Amphibians","Alabama"
"Blowout penstemon","Endangered","Flowering Plants","Wyoming"
"Blowout penstemon","Endangered","Flowering Plants","Nebraska"
"Blunt-nosed leopard lizard","Endangered","Reptiles","California"
"bog turtle","Threatened","Reptiles","New York"
"bog turtle","Threatened","Reptiles","South Carolina"
"bog turtle","Threatened","Reptiles","New Jersey"
"bog turtle","Threatened","Reptiles","Massachusetts"
"bog turtle","Threatened","Reptiles","North Carolina"
"bog turtle","Threatened","Reptiles","Tennessee"
"bog turtle","Threatened","Reptiles","Pennsylvania"
"bog turtle","Threatened","Reptiles","Maryland"
"bog turtle","Threatened","Reptiles","Delaware"
"bog turtle","Threatened","Reptiles","Connecticut"
"Bonytail","Endangered","Fishes","California"
"Bonytail","Endangered","Fishes","Utah"
"Bonytail","Endangered","Fishes","Arizona"
"Bonytail","Endangered","Fishes","Colorado"
"Bonytail","Endangered","Fishes","Nevada"
"Bristle-thighed curlew","Species of Concern","Birds","American Samoa"
"Buena Vista Lake ornate Shrew","Endangered","Mammals","California"
"Bull Trout","Threatened","Fishes","Oregon"
"Bull Trout","Threatened","Fishes","Idaho"
"Bull Trout","Threatened","Fishes","Montana"
"Bull Trout","Threatened","Fishes","Washington"
"Bull Trout","Threatened","Fishes","Nevada"
"Bunched arrowhead","Endangered","Flowering Plants","South Carolina"
"Bunched arrowhead","Endangered","Flowering Plants","North Carolina"
"California clapper rail","Endangered","Birds","California"
"California condor","Endangered","Birds","Arizona"
"California condor","Endangered","Birds","Nevada"
"California condor","Endangered","Birds","Colorado"
"California condor","Endangered","Birds","California"
"California condor","Endangered","Birds","Utah"
"California least tern","Endangered","Birds","California"
"California least tern","Endangered","Birds","Arizona"
"California red-legged frog","Threatened","Amphibians","California"
"California seablite","Endangered","Flowering Plants","California"
"California tiger Salamander","Threatened","Amphibians","California"
"California tiger Salamander","Endangered","Amphibians","California"
"Callippe silverspot butterfly","Endangered","Insects","California"
"Canada Lynx","Threatened","Mammals","Minnesota"
"Canada Lynx","Threatened","Mammals","Vermont"
"Canada Lynx","Threatened","Mammals","Colorado"
"Canada Lynx","Threatened","Mammals","Michigan"
"Canada Lynx","Threatened","Mammals","Utah"
"Canada Lynx","Threatened","Mammals","Oregon"
"Canada Lynx","Threatened","Mammals","Idaho"
"Canada Lynx","Threatened","Mammals","Wisconsin"
"Canada Lynx","Threatened","Mammals","New Mexico"
"Canada Lynx","Threatened","Mammals","Montana"
"Canada Lynx","Threatened","Mammals","New Hampshire"
"Canada Lynx","Threatened","Mammals","Maine"
"Canada Lynx","Threatened","Mammals","Washington"
"Canada Lynx","Threatened","Mammals","Wyoming"
"Canby's dropwort","Endangered","Flowering Plants","Georgia"
"Canby's dropwort","Endangered","Flowering Plants","Maryland"
"Canby's dropwort","Endangered","Flowering Plants","Delaware"
"Canby's dropwort","Endangered","Flowering Plants","North Carolina"
"Canby's dropwort","Endangered","Flowering Plants","South Carolina"
"Candy darter","Endangered","Fishes","West Virginia"
"Candy darter","Endangered","Fishes","Virginia"
"Cape Sable seaside sparrow","Endangered","Birds","Florida"
"Carolina heelsplitter","Endangered","Clams","North Carolina"
"Carolina heelsplitter","Endangered","Clams","South Carolina"
"Casey's June Beetle","Endangered","Insects","California"
"Cheat Mountain salamander","Threatened","Amphibians","West Virginia"
"Cherokee darter","Threatened","Fishes","Georgia"
"Chihuahua chub","Threatened","Fishes","New Mexico"
"Chittenango ovate amber snail","Threatened","Snails","New York"
"Chucky Madtom","Endangered","Fishes","Tennessee"
"Chupacallos","Endangered","Flowering Plants","Puerto Rico"
"Clay-Loving wild buckwheat","Endangered","Flowering Plants","Colorado"
"Clay phacelia","Endangered","Flowering Plants","Utah"
"Clubshell","Endangered","Clams","Illinois"
"Clubshell","Endangered","Clams","Tennessee"
"Clubshell","Endangered","Clams","Ohio"
"Clubshell","Endangered","Clams","Indiana"
"Clubshell","Endangered","Clams","Michigan"
"Clubshell","Endangered","Clams","New York"
"Clubshell","Endangered","Clams","Kentucky"
"Clubshell","Endangered","Clams","West Virginia"
"Clubshell","Endangered","Clams","Pennsylvania"
"Clubshell","Endangered","Clams","Mississippi"
"Coachella Valley fringe-toed lizard","Threatened","Reptiles","California"
"Cobana negra","Threatened","Flowering Plants","Puerto Rico"
